merge sort,<_io.TextIOWrapper name='input_files/rev2K.txt' mode='r' encoding='UTF-8'>,2000,1998,1998
quick sort1,<_io.TextIOWrapper name='input_files/rev2K.txt' mode='r' encoding='UTF-8'>,2000,1999000,1000000
quick sort2,<_io.TextIOWrapper name='input_files/rev2K.txt' mode='r' encoding='UTF-8'>,2000,1999000,1000000
quick sort3,<_io.TextIOWrapper name='input_files/rev2K.txt' mode='r' encoding='UTF-8'>,2000,1999000,1000000
quick sort4,<_io.TextIOWrapper name='input_files/rev2K.txt' mode='r' encoding='UTF-8'>,2000,201400,201799
merge sort,<_io.TextIOWrapper name='input_files/rev5K.txt' mode='r' encoding='UTF-8'>,5000,4998,4998
quick sort1,<_io.TextIOWrapper name='input_files/rev5K.txt' mode='r' encoding='UTF-8'>,5000,12497500,6250000
quick sort2,<_io.TextIOWrapper name='input_files/rev5K.txt' mode='r' encoding='UTF-8'>,5000,12497500,6250000
quick sort3,<_io.TextIOWrapper name='input_files/rev5K.txt' mode='r' encoding='UTF-8'>,5000,12497500,6250000
quick sort4,<_io.TextIOWrapper name='input_files/rev5K.txt' mode='r' encoding='UTF-8'>,5000,1253500,1254499
merge sort,<_io.TextIOWrapper name='input_files/rev10K.txt' mode='r' encoding='UTF-8'>,10000,9998,9998
quick sort1,<_io.TextIOWrapper name='input_files/rev10K.txt' mode='r' encoding='UTF-8'>,10000,49995000,25000000
quick sort2,<_io.TextIOWrapper name='input_files/rev10K.txt' mode='r' encoding='UTF-8'>,10000,49995000,25000000
quick sort3,<_io.TextIOWrapper name='input_files/rev10K.txt' mode='r' encoding='UTF-8'>,10000,49995000,25000000
quick sort4,<_io.TextIOWrapper name='input_files/rev10K.txt' mode='r' encoding='UTF-8'>,10000,5007000,5008999
merge sort,<_io.TextIOWrapper name='input_files/rev20K.txt' mode='r' encoding='UTF-8'>,20000,19998,19998
quick sort1,<_io.TextIOWrapper name='input_files/rev20K.txt' mode='r' encoding='UTF-8'>,20000,199990000,100000000
quick sort2,<_io.TextIOWrapper name='input_files/rev20K.txt' mode='r' encoding='UTF-8'>,20000,199990000,100000000
quick sort3,<_io.TextIOWrapper name='input_files/rev20K.txt' mode='r' encoding='UTF-8'>,20000,199990000,100000000
quick sort4,<_io.TextIOWrapper name='input_files/rev20K.txt' mode='r' encoding='UTF-8'>,20000,20014000,20017999
